ax,ay,az,gx,gy,gz,name,n,initial_row_angle
28526,-8755,-12623,-2870,3465,-7274,X,3,-1.700984239578247
25133,-11561,-10616,-4656,3210,-10317,X,3,-1.700984239578247
16891,-13856,-10157,-5861,3377,-13094,X,3,-1.700984239578247
5973,-13959,-9190,-7045,2806,-14823,X,3,-1.700984239578247
-1645,-12629,-5257,-8412,2331,-14832,X,3,-1.700984239578247
-3497,-9874,-450,-8996,2518,-13467,X,3,-1.700984239578247
-2173,-8785,2901,-8652,1935,-12027,X,3,-1.700984239578247
-2773,-8000,5087,-7689,1824,-11501,X,3,-1.700984239578247
-6173,-7138,6897,-6496,1575,-11297,X,3,-1.700984239578247
-10680,-5863,8351,-5197,320,-10601,X,3,-1.700984239578247
-14643,-3899,8908,-3915,-1224,-8923,X,3,-1.700984239578247
-16734,-2419,8639,-2693,-1053,-6081,X,3,-1.700984239578247
-16793,-1854,8030,-1617,85,-2696,X,3,-1.700984239578247
-14210,-1960,7391,-877,986,652,X,3,-1.700984239578247
-9944,-2425,7332,-463,1392,3311,X,3,-1.700984239578247
-6156,-2815,8366,-169,1047,4815,X,3,-1.700984239578247
-4331,-3106,9576,365,370,5359,X,3,-1.700984239578247
-4602,-3612,10172,1281,75,5636,X,3,-1.700984239578247
-4957,-4505,10173,2446,-90,6253,X,3,-1.700984239578247
-4430,-5664,8928,3756,-547,7174,X,3,-1.700984239578247
-4286,-6922,6904,5022,-1193,8200,X,3,-1.700984239578247
-5333,-9395,4802,6114,-1351,9560,X,3,-1.700984239578247
-4284,-13526,4818,6914,-1250,11780,X,3,-1.700984239578247
1012,-18142,5956,7886,-804,14593,X,3,-1.700984239578247
10005,-22238,2258,9708,-603,16907,X,3,-1.700984239578247
18400,-23174,-6454,11242,-340,17505,X,3,-1.700984239578247
26461,-20132,-12951,10566,-1255,16068,X,3,-1.700984239578247
32557,-13876,-16325,8483,-3862,12854,X,3,-1.700984239578247
32708,-8298,-18819,6075,-3502,7912,X,3,-1.700984239578247
27643,-6052,-12696,3086,-162,3175,X,3,-1.700984239578247
16581,-4825,-5633,1328,1435,792,X,3,-1.700984239578247
14364,-3574,-6513,1262,828,699,X,3,-1.700984239578247
19728,-2651,-9291,753,597,934,X,3,-1.700984239578247
20001,-2285,-6881,-751,684,-367,X,3,-1.700984239578247
16661,-2700,-3844,-1876,327,-2061,X,3,-1.700984239578247
12346,-2967,-2695,-2314,-400,-3235,X,3,-1.700984239578247
8755,-2823,-1447,-2530,-1101,-3637,X,3,-1.700984239578247
28635,-6863,-14688,-2580,293,-3129,X,4,-2.1005711555480957
28061,-8733,-12023,-3724,-215,-7386,X,4,-2.1005711555480957
19131,-10110,-5832,-4431,-702,-11841,X,4,-2.1005711555480957
9923,-10045,-3470,-3749,-1648,-14240,X,4,-2.1005711555480957
5035,-8793,-4284,-2864,-2112,-14571,X,4,-2.1005711555480957
207,-7504,-5775,-2333,-1092,-14380,X,4,-2.1005711555480957
-3746,-6505,-6603,-2418,-296,-13553,X,4,-2.1005711555480957
-4284,-5474,-5225,-3149,-209,-12230,X,4,-2.1005711555480957
-4164,-5318,-1885,-3952,-638,-11341,X,4,-2.1005711555480957
-7337,-5369,3158,-4411,-1419,-11123,X,4,-2.1005711555480957
-13460,-4388,7744,-3955,-2260,-10636,X,4,-2.1005711555480957
-17254,-2687,9429,-2330,-3477,-8840,X,4,-2.1005711555480957
-17984,-1436,7927,-137,-3517,-6180,X,4,-2.1005711555480957
-18064,-923,4369,1751,-1672,-3525,X,4,-2.1005711555480957
-17716,-903,1522,2621,267,-923,X,4,-2.1005711555480957
-15884,-1172,785,2641,1755,1630,X,4,-2.1005711555480957
-13024,-1826,1038,2476,2681,3843,X,4,-2.1005711555480957
-10999,-2582,1287,2489,2835,5444,X,4,-2.1005711555480957
-10136,-3514,1515,2685,2572,6691,X,4,-2.1005711555480957
-9638,-4638,1215,3082,2694,8004,X,4,-2.1005711555480957
-9231,-6374,930,3547,3310,9506,X,4,-2.1005711555480957
-8868,-8741,955,4033,3370,11134,X,4,-2.1005711555480957
-8199,-12231,-883,4838,2237,12945,X,4,-2.1005711555480957
-5924,-16493,-3945,5623,2501,15055,X,4,-2.1005711555480957
-220,-20354,-6523,5592,3986,17383,X,4,-2.1005711555480957
11218,-22123,-9970,4885,3745,19087,X,4,-2.1005711555480957
26722,-19121,-14992,3692,2840,18645,X,4,-2.1005711555480957
32708,-14249,-15933,1628,4131,15229,X,4,-2.1005711555480957
32709,-11941,-7254,-662,5680,9750,X,4,-2.1005711555480957
29174,-10416,-2956,-721,2432,4402,X,4,-2.1005711555480957
25347,-9036,-10778,801,-650,1504,X,4,-2.1005711555480957
26232,-7091,-16148,774,-195,26,X,4,-2.1005711555480957
25470,-5757,-15875,-441,1313,-1720,X,4,-2.1005711555480957
21145,-5495,-15489,-1441,1897,-3852,X,4,-2.1005711555480957
17169,-5670,-17215,-2265,1714,-5497,X,4,-2.1005711555480957
14742,-6063,-19336,-3500,1753,-6449,X,4,-2.1005711555480957
12847,-7201,-21283,-5256,2430,-7075,X,4,-2.1005711555480957
10682,-8702,-19069,-7560,3046,-7626,X,4,-2.1005711555480957
7684,-9495,-12945,-9748,2946,-8215,X,4,-2.1005711555480957
3678,-9555,-7724,-10934,2089,-8678,X,4,-2.1005711555480957
438,-8903,-4498,-11380,1181,-8671,X,4,-2.1005711555480957
-1117,-8249,-1413,-11539,650,-8240,X,4,-2.1005711555480957
-1561,-7846,1787,-11450,859,-7731,X,4,-2.1005711555480957
-2549,-7261,5063,-10987,1340,-7480,X,4,-2.1005711555480957
-5522,-6319,8143,-10095,1250,-7356,X,4,-2.1005711555480957
-9382,-4652,11651,-8983,29,-6688,X,4,-2.1005711555480957
-10364,-3246,14731,-7541,-2516,-4978,X,4,-2.1005711555480957
-11004,-1430,16372,-5285,-1954,-2695,X,4,-2.1005711555480957
-9732,-1234,15846,-2590,-301,-170,X,4,-2.1005711555480957
-7035,-1566,14145,-238,1168,2044,X,4,-2.1005711555480957
-4030,-2057,12577,1467,1577,3545,X,4,-2.1005711555480957
-904,-2360,11308,2736,959,4340,X,4,-2.1005711555480957
903,-2576,10095,3761,172,4499,X,4,-2.1005711555480957
960,-2799,9276,4618,-215,4360,X,4,-2.1005711555480957
-1219,-3321,9124,5408,231,4383,X,4,-2.1005711555480957
-2855,-4597,9996,6271,1275,5104,X,4,-2.1005711555480957
-3197,-7046,10702,7543,1812,6351,X,4,-2.1005711555480957
-1477,-10241,9579,9367,1078,7788,X,4,-2.1005711555480957
1621,-13471,6477,11435,-811,8926,X,4,-2.1005711555480957
3961,-16967,1355,13436,-1917,9520,X,4,-2.1005711555480957
6795,-19979,-7311,14953,-1575,10035,X,4,-2.1005711555480957
12845,-20663,-13608,14799,-2393,10264,X,4,-2.1005711555480957
18545,-19681,-11848,13483,-4284,9247,X,4,-2.1005711555480957
21588,-17367,-16808,13311,-4969,6969,X,4,-2.1005711555480957
22689,-13239,-28417,12558,-2179,4578,X,4,-2.1005711555480957
22097,-8636,-32695,8874,775,2506,X,4,-2.1005711555480957
17094,-6210,-27312,3664,996,680,X,4,-2.1005711555480957
12287,-5262,-18296,-110,-20,-250,X,4,-2.1005711555480957
12354,-4152,-12434,-1868,-95,-272,X,4,-2.1005711555480957
12846,-3387,-8092,-2518,746,-479,X,4,-2.1005711555480957
14557,-3788,-25085,-479,-2933,-58,X,5,-2.6456854343414307
18429,-6666,-29503,-2831,-3361,-1924,X,5,-2.6456854343414307
